项目编号,主体,关系,客体
238,芒景村,民族构成,布朗族 占总人口的
238,芒景村,保存内容,传统习俗
238,芒景村,保存内容,伦理道德
238,芒景村,保存内容,生活习惯
238,芒 景村,保存内容,节庆活动
238,芒景村,保存内容,文艺体育
238,芒景村,保存内容,宗教信仰
238,村寨,拥有文物,县级文物布朗族传统建筑群
238,村寨,拥有文物,芒洪 八角塔
238,村寨,拥有自然景观,翁基榕树群
238,村寨,拥有自然景观,翁洼帕 达大石岩溶洞
238,村寨,拥有自然景观,千年古茶 林
238,民 居建筑,类型,干 栏式木构瓦顶建筑
238,民居建筑,称号,布朗族生态 文化的露天博物馆
238,传统天文历法,状态,保留完整
238,民间医药,状态,保留完整
238,传统习俗,包括,当 堂
238,传统 习俗,包括,苏木松
238,传统习俗,包括,嘎冷
238,传统习俗,包括,丁巴
238,传统习俗,包括,祭山神
238,传统节日,包括,山 康茶祖节
238,传统节日,包括,泼水节
238,传统节日,包括,关门 节
238,传统 节日,包括,开门节
238,民间文学代表 作品,包括,《哎冷传说 》
238,民间 文学代表作品,包括,《千年 万亩古茶林传说》
238,民间文学代表作品,包括,《芒洪八角塔 传说》
238,民间文学代表作品,包括,《 帕达大石岩传说》
238,民间文学代表 作品,包括,《金伞传说 》
238,传统 音乐,包括,上新房调
238,传统音乐,包括,结婚调
238,传统音乐,包括,情歌
238,传统音乐,包括,祝福调
238,乐器,包括,象脚鼓
238,乐器,包括,片镲
238,乐器,包括,二胡
238,乐器,包括,比哨
238,传统舞蹈,包括,象脚鼓舞
238,传统舞蹈,包括,刀舞
238,传统体育项目,包括,大刀
238,传统体育项目,包括,梭镖
238,传统体育项目,包括,舞 棍
238,传统 体育项目,包括,射弩
238,传统工艺,包括,纺织
238,传统工艺,包括,竹编
238,传统工艺,包括,榨 糖
238,传统 工艺,包括,制茶
238,传统工艺,包括,土制火药
238,布朗族,属性,云南的独有民族
238,芒景 村,荣誉,全国最 休闲旅游村
238,芒景村,发展规划,打造国家级景区
238,芒景村,发展规划,申报世界自然遗产
238,芒景村布朗 族传统文化生态保护区,作用,促进当地旅游业的发展
238,芒景村布朗族 传统文化生态保护区,入选项目,云南省第三批省级非物质文化遗产 代表性项目名录
239,巧家小 碗红糖,别称,碗 碗糖
239,巧家小碗红糖,颜色,红黄色半透明
239,巧家小 碗红糖,特点,香气 浓郁
239,巧家 小碗红糖,特点,口感纯正
239,巧 家小碗红糖,得名 原因,成品为小碗形状
239,巧家小 碗红糖,生产开始时间,清朝乾隆年间
239,巧家小碗红糖,受欢迎地区,青、藏、 川、滇等地区
239,巧家小碗红糖,制作方法,传统土榨 法
239,巧家 小碗红糖,开榨时间,每年农历冬月尾
239,巧家小 碗红糖,收榨时间,次年清明前后
239,糖房工匠角色,包括,榨匠、糖匠、 大火头
239,辅助工种,包括,刀 刀匠、牛毛尖、草 疙瘩、渣渣匠、叶子客 、包包匠
239,制作工序,包括,压榨 、加热、蒸发、澄清
239,榨匠职责,指挥压榨工作) 15 . (渣渣匠职责,理甘蔗渣并往糖锅里送 蔗汁
239,大火头职责,烧火掌握 火候) 17. ( 糖匠职责,向糖锅中 加入石灰和蓖麻油脚子 或清油脚子
239,糖匠操作目的,促使糖浆澄清和散泡 增加糖的硬度) 19 . (熬制间设备,牛尾灶
239,牛尾灶锅口数量,五口锅) 21 . (第一、二口锅用途,生水锅煮制刚 榨出的甘蔗汁边煮边捞出 渣屑
239,第三、四口锅用途,中锅逐一熬糖) 2 3. (第五、六口锅 用途,出糖锅
239,出糖后处理,把糖膏舀进糖 钵用糖棒不停搅拌俗称杀 糖) 25. (杀 糖终点判断标准,糖浆 无泡变沙
239,成型工具,小碗 状的糖模子) 2 7. (成品种类,小 碗糖、大碗糖、砖 糖、狮子糖
239,巧家小碗红糖制作 技艺,入选项目,云南省 第四批省级非物质文化遗产代表性项目 名录
240,昭通酱,起源时间,清雍正年间
240,昭 通酱,产地,昭通地区
240,昭通酱,原料,上等黄豆
240,昭通酱,原料,昭通炎山花椒
240,昭通酱,原料,本地辣椒
240,昭通酱,原料,自贡井盐
240,昭通酱,原料,大龙洞山泉水
240,昭通酱,制作工艺,纯手工制作
240,昭通酱,工序,制作豆面
240,昭通 酱,工序,制作酱 面
240,昭 通酱,工序,下 酱
240,制作 豆面,步骤,精选 上等黄豆
240,制作豆面,步骤,文火焙炒至酥脆
240,制作豆 面,步骤,磨成 细面过筛备用
240,制作酱面,操作,在豆面中加入 泉水搅拌均匀至可捏成坨
240,民间制作酱 面,口诀,紧 三把松三把不紧不 松又三把
240,发酵过程,容器,垫有稻草的竹筐
240,发酵过程,覆盖物,稻草
240,发酵过程,调整方式,定时将面坨 作上下左右调整
240,发酵结果,特征,坨面出现黄白色霉衣
240,后续处理,动作,将酱面 取出掰成小块晒干再磨 成细粉
240,下酱,混合材料,山花椒、辣椒、食盐等 调料与酱面、泉水
240,下酱,盛装容器,瓦缸
240,下酱,遮盖物,尖顶的 竹篾盖
240,下酱,放置方式,露天放置
240,下酱,搅拌频率,每三天搅拌一次
240,下酱,制作 周期,天左右
240,昭通酱,外观 特征,色红如玛瑙
240,昭通 酱,口味特点,麻辣 咸香
240,昭通酱,气味特点,酱香浓郁
240,昭通酱,适用 性,荤素皆宜
240,昭通酱,应用领域,多家食品企业 的重要原料
240,昭通酱,特色保留,浓郁的地方特色风味
240,昭通酱,衍生产品,肉酱
240,昭通酱,衍生产品,油酱
240,昭通酱,衍生产品,花椒酱
240,昭通 酱,衍生产品,香 椿酱
240,昭通酱,衍生产品,火腿酱
240,昭通酱,衍生产品,天麻酱
240,昭通酱,保存特性,久贮不变味
240,昭通 酱,便携性,携带 方便
240,昭 通酱,食用评价,美味可口
240,昭通酱制作技艺,入选 名录,云南省第三批省级非 物质文化遗产代表性项目名录
240,昭通酱制作技艺,代表性传承人,黄 智敏
241,永仁彝 族女子,必备技能,刺绣
241,永仁彝绣,使用材料,棉麻
241,永仁彝 绣,使用材料,丝 绣线
241,永仁彝绣,使用 材料,棉线
241,永仁彝绣,使用材料,开司 米线
241,永仁彝绣,绣 法,平绣
241,永仁彝绣,绣法,十字绣
241,永 仁彝绣,绣法,扣花绣
241,永仁彝绣,绣法,插绣
241,永 仁彝绣,绣法,镂空绣
241,永仁彝绣,绣法,扣边 绣
241,公鸡帽,刺绣图案,山茶花
241,公鸡帽,刺绣图案,云雾花
241,公鸡帽,刺绣图案,麂子花
241,公鸡帽,刺绣图案,火焰花
241,衣服,刺绣图案,铜钱 花
241,衣服,刺绣图案,鸡冠花
241,裤子,刺绣图案,房顶瓦面
241,裤子,刺绣图案,瓜影
241,裤子,刺绣图案,山茶 花
241,裤子,刺绣图案,小人影
241,围腰,刺绣图案,树勾花
241,围腰,刺绣图案,山茶花
241,腰带,刺绣图案,铜 钱花
241,腰带,刺绣图案,鸡冠花
241,挎包,刺绣图案,四叶花
241,挎 包,刺绣图案,狗 脚印花
241,鞋子,刺绣图案,吊勾花
241,鞋子,刺绣 图案,南瓜花
241,永仁彝 绣,常见图案,马 缨花
241,永仁彝绣,常见图案,山茶花
241,传统 永仁彝绣,底色,黑色
241,传统永仁彝绣,绣线颜色,大 红
241,传统永仁彝绣,绣线颜色,粉红
241,现代 永仁彝绣,特点,大胆艳丽
241,现代永仁彝绣,底色特征,五彩 缤纷
241,现代永仁彝绣,形式特点,多种多样
241,永仁彝 绣,构图特征,虚实 并存
241,永仁彝绣,形象 风格,夸张
241,永仁彝绣,色彩特点,对比强烈
241,赛装节,展示内容,最美服饰
241,定情信物,包括物品,挎包
241,挎包,定情图案,马 缨似火
241,挎包,定 情图案,山茶争艳
241,挎包,定情图案,喜鹊闹梅
241,挎包,定情图案,蝴蝶采 花
241,永仁县,成立组织,刺绣协会
241,永仁县,成立组织,刺绣专业合作社
241,永 仁彝族刺绣,入选项目,云南省级非物质文化遗产代表性 项目名录扩展项目名录
241,殷绍庄,身份,项目代表性传承 人
242,景东彝 族打歌,类别,动物 模拟舞
242,景东彝族打歌,类别,生产生活舞
242,景东彝 族打歌,类别,祝福寄托舞
242,老鸹歌,属于,动物模拟舞
242,猴子扯磨,属于,动物模拟舞
242,孔雀摆尾,属于,动物模拟舞
242,苍蝇搓脚,属于,动物模拟舞
242,三跺脚,属于,生产生活舞
242,翻身歌,属于,生产 生活舞
242,大倒躜,属于,生产生活舞
242,顺躜歌,属于,生产生活舞
242,合脚歌,属于,生产生活舞
242,新房歌,属于,生产生活舞
242,闪闪歌,属于,祝福寄托舞
242,景东彝族打 歌,曲调特点,旋律优美
242,景东彝族打歌,曲调特点,节奏规整 严谨
242,景 东彝族打歌,乐 段结构,上下句或四 句乐段结构
242,景东彝族打歌,音阶特性,五 声音阶
242,景东彝族打歌,伴奏乐器,葫芦笙
242,景东彝族 打歌,伴奏乐器,大小三弦
242,景东彝族打歌,伴奏乐器,笛子
242,景东彝 族打歌,伴奏乐器,树叶
242,景东彝族打歌,伴奏乐器,口琴
242,无量山一带,跳舞时间,传统节日 、吉日
242,哀牢山一带,跳舞 时间,不拘时辰
242,芦笙伴奏的歌 调,特性,一调 多舞的通用性
242,笛子伴奏的歌调,特性,音乐不同则 舞步不同
242,景东彝族打歌,动律部位,腰、腿
242,景东 彝族打歌,常见脚 部动作,跺步、甩 步、踢腿、收脚
242,景东彝 族打歌,膝盖状态,自然弯曲有弹性
242,景东彝族打 歌,上身动作,前俯、后仰、收腹 、挺腰、翻身
242,景东彝族打 歌,手部动作,拉手、挽臂、搭肩 、扣手、拍手或自然 甩动
242,景东彝族打歌,舞蹈队形,一个大圆圈
242,景东彝 族打歌,舞蹈队形,围成两个圆
242,景东彝族 打歌,舞蹈队形,两排
242,景东彝族打歌,入选名录,云南省第一批省级 非物质文化遗产保护名录
242,景东彝族打 歌,代表性传承人,曹爱民
243,孟连傣 族土陶制作 技艺,流传地区,孟连县娜 允镇
243,孟连傣族土陶 制作技艺,使用工具,木拍
243,孟连傣族土陶制作 技艺,使用工具,花 陶拍
243,孟连傣族土陶制作 技艺,使用工具,卵 石
243,孟连傣族土陶制作技艺,使用工具,轮盘
243,孟 连傣族土陶制作技艺,原料,当地黏土
243,孟连 傣族土陶制作技艺,工序步骤,取土
243,孟连傣 族土陶制作技艺,工序 步骤,晒土
243,孟连傣族 土陶制作技艺,工序步骤,筛土
243,孟连傣族 土陶制作技艺,工序步骤,加沙和泥
243,孟连 傣族土陶制作技艺,工序步骤,制坯
243,孟连 傣族土陶制作技艺,工序步骤,晾晒
243,孟连 傣族土陶制作技艺,工序步骤,烧制
243,孟连 傣族土陶制品,包括类型,生活用具
243,孟连傣族 土陶制品,包括类型,建筑材料
243,孟连傣族土陶制品,包括类型,赕佛用具
243,厨具类制品,具体示例,土锅
243,厨具类制品,具体示例,水壶
243,厨具类制品,具体示例,陶罐
243,厨具类制品,具体示例,陶瓶
243,厨具类制品,具体示例,陶盘
243,家居类制品,具体示例,花瓶
243,家居 类制品,具体示例,花盆
243,赕佛用品类制品,具体示例,灯盏
243,赕 佛用品类制品,具体示例,高足盘
243,孟连傣 族土陶制作技艺,传承 方式,家庭内部传承
243,孟连 傣族土陶制作技艺,传承规则,传女不传 男
243,成坯方法,技术特点,无转轮制坯
243,成 坯方法,技术特点,脚趾拨动慢轮
243,成坯方法,技术特点,手拨 动转轮
243,器物表面处理,使用工具,有纹的 木拍
243,器物表面处理,工艺效果,印纹
243,印纹 特征,历史关联,南方 出土的新石器时期印纹陶 器
243,烧制方法,采用方式,堆烧法
243,傣族慢 轮制陶,社会价值,满足日常生活需要
243,傣族慢轮 制陶,文化价值,丰富的社会文化价值
243,傣族慢轮 制陶,研究价值,历史研究价值
243,傣族慢轮制 陶,反映内容,传统 生活方式
243,傣族慢轮制陶,反映内容,生活方式变迁
243,孟 连傣族传统制陶技艺,入选名录,云南省第一批省级 非物质文化遗产保护名录
244,云县鸡肉 米线,所属地区,云南省 临沧市云县
244,云县鸡肉 米线,传统流传社区,爱华镇城区爱华
244,云县鸡肉米 线,传统流传社区,新云州
244,云县鸡肉米线,传统 流传社区,草皮街
244,云县鸡肉米 线,传统流传社区,毛家村
244,云县鸡肉米线,选用 原料,传统木榨米线 （酸浆米线）
244,云县鸡肉米线,制作工艺步骤,选 米
244,云县 鸡肉米线,制作工艺步骤,净米
244,云县鸡肉米线,制作工艺步骤,洗泡
244,云县鸡肉 米线,制作工艺步骤,发酵
244,云县鸡肉米线,制作 工艺步骤,磨浆
244,云县鸡肉米 线,制作工艺步骤,潮化
244,云县鸡肉米线,制作 工艺步骤,合成
244,云县鸡肉米线,制作工艺步骤,初 蒸
244,云 县鸡肉米线,制作工艺 步骤,压榨
244,云县鸡肉米线,制作工艺步骤,煮熟
244,云县鸡肉 米线,制作工艺步骤,冷却
244,云县鸡肉米线,制作 工艺步骤,漂洗
244,云县鸡肉米 线,鸡肉品种,黑 肉土鸡
244,云县鸡肉米线,土鸡重量要求,公斤以上
244,云县 鸡肉米线,饲养周期,一周
244,云县鸡肉米线,宰 杀食用原则,当天宰杀 必须当天食用
244,云县鸡肉米线,老汤熬制关键,一 鲜二慢三原味
244,云县鸡肉米 线,老汤配料,草果
244,云县鸡肉米线,老 汤配料,盐巴
244,云县鸡肉米 线,老汤配料,姜片
244,云 县鸡肉米线,捞出供 选购部位,鸡头
244,云县鸡肉米 线,捞出供选购部位,鸡翅
244,云县鸡肉米线,捞出 供选购部位,鸡腿
244,云县鸡肉 米线,捞出供选购部位,鸡肝
244,云县鸡肉米线,剩余鸡肉用途,做成肉 丁配其他调料制成鸡肉戴帽
244,云县 鸡肉米线,传统吃法 名称,滑米线
244,云县鸡肉米 线,现代流行吃法,戴帽米线
244,云县鸡肉米线,常见佐料,酱油
244,云县 鸡肉米线,常见佐料,辣椒油
244,云县鸡肉米线,常见佐料,蒜泥
244,云县 鸡肉米线,常见佐料,麻油
244,云县鸡肉米线,常见佐料,芫荽
244,云县 鸡肉米线,常见佐料,小米辣
244,云县鸡肉米线,常见佐料,水腌 菜
244,云 县鸡肉米线,常见佐 料,腊腌菜
244,云县鸡肉米 线烹制技艺,入选名录,云南省第四批省级非物质 文化遗产代表性项目名录扩展项目名录
244,云县鸡肉 米线烹制技艺,项目 代表性传承人,尹庆美
245,天峰山 歌会,起源,天峰 山老君圣诞会
245,天峰山 歌会,纪念对象,祝融
245,天 峰山歌会,所属民族,彝族
245,天峰山歌会,举办地点,祥云县普 棚镇天峰山
245,天峰山歌会,举办时间,每年农历二月 十五
245,天峰 山歌会,活动内容,彝族歌调对唱
245,天峰山歌 会,活动内容,弹 弦打歌
245,天峰山歌会,活动 内容,诵经拜唱
245,天峰山歌 会,活动内容,洞 经音乐会
245,天峰山歌会,传统 习俗,农历二月十四起鼓 开堂立歌会大旗
245,天峰山 歌会,仪式,祭 歌会大旗仪式
245,祭歌会大旗 仪式,祭祀对象,天
245,祭歌 会大旗仪式,祭祀对象,地
245,祭歌会大旗仪式,祭祀对象,祖宗
245,天峰山歌 会,活动内容,对 山歌
245,天峰山歌会,活动 内容,芦笙舞表演
245,天峰山 歌会,活动内容,传统体育比赛
245,天峰山歌会,活动内容,打歌
245,天峰山歌 会,活动内容,朝 山拜
245,天峰山歌会,活动 内容,歌会大典
245,天峰山 歌会,活动内容,祭祖
245,天峰山歌会,活动 内容,竖会杆
245,天峰山歌 会,文化内涵,彝 族物质生活和精神生活长期积淀 的智慧结晶
245,天峰山歌会,相关 传说,彝族历史事件
245,天峰山 歌会,入选名录,云南省第四批省级非物质文化遗产代表性 项目名录
245,天峰山歌会,项目 代表性传承人,罗荣
246,阿乐攀 乐,讲述 内容,古代彝 族青年阿乐搭天 梯驱逐天狗拯救太阳和 月亮的故事
246,阿 乐,担心,天狗 再去偷吃太阳和月亮而令人 间陷入黑暗
246,阿乐,尝试方法,将羽毛捆扎在身上变成一只 鸟
246,阿乐,尝试方法,用一根 很长的绳索系上篮兜自己 坐在兜中由乡亲们帮忙 拉绳索想攀上月亮
246,阿乐,救了,一只凤凰
246,凤凰,告诉,登 月的办法
246,阿 乐,搭建,九百九十 九级天梯
246,阿乐,登上,月亮
246,阿乐,赶走,天狗
246,阿乐,捍卫,人间的光明
246,一些版本,提到,阿乐被凤凰 带到月宫后从月宫中撒 下桫椤树种子把天狗 攻击月亮、进攻太阳的消息提前告诉了 乡亲们让大家做好驱赶天 狗的准备
246,故事,讴歌,彝 族先民不畏艰难险阻精 诚团结勇于探索自然和改造自然 的斗争精神
246,传说故事,衍生体育活动,由人扮演阿乐其余人 分成两列面对面站立队员伸手握住 对面同伴的手腕搭成梯子阿 乐在队员手臂搭成的梯子上 匍匐前进
246,体育活动,规则,当阿乐通过后队员相继移动 到前面阿乐未到达的地方继续 搭梯直到将阿乐送到终点 摘到月亮两组比赛速度快者为 胜
246,彝 族火把节,举行活动,这项体育竞技活动
246,《阿乐攀 月》,入选,云南省 第四批省级非物质文化遗产代表性项目 名录
246,项目 代表性传承人,是,罗朝明
247,龙陵县 龙山镇阿 昌族,自称,小阿昌
247,龙陵县 龙山镇阿昌族婚庆 习俗,分为,求婚和 婚礼
247,求婚,包括,唱情歌、要 烟吃、互递信物
247,举办婚礼时间,男方持续,三天
247,举办婚礼时间,女方持续,两天
247,婚礼内容,包括,娶亲、长筷戏新郎、 送亲、入洞房、认 亲、坐满月、拜年
247,娶亲环节,特点,拦门、 泼水关卡
247,长筷戏新郎,使用工具,几米长的竹子当筷子
247,长筷戏 新郎,目的,给亲友 宾客一一夹菜
247,入洞房仪式,步骤,绕火塘三圈
247,入洞 房象征意义,夫妻相处像 糯米饭团一样胶黏,共同吃糯米饭团
247,认亲环节,行为,新媳妇敬奉长辈 甜茶互赠礼物
247,坐满月习俗,动作,由娘家接送返回 时给每家亲戚都送一只鸡
247,拜年 习俗,行为,到各 亲戚家中行跪拜礼、赠 礼品
247,拜 年回礼,内容,每家亲戚给新郎新娘送一只鸡
247,阿昌 族传统婚俗,入选,云南省第四批省级非物质文化遗产 代表性项目名录
248,东山,又称,吴烈山
248,东 山庙,始建于,明正德年间
248,东山庙,史称,吴烈庙
248,东山 庙,性质,山神 祠
248,清朝初期,迁入民族,白族
248,白族,带来文化,本主文化
248,东山庙,改称原因,本主 文化影响
248,清朝雍正年间,建造地点,东山山顶
248,东山山顶,建有建筑,玉皇 庙
248,东山山顶,建有 建筑,南天门
248,半山 腰,建有建筑,法喜寺
248,法喜寺,宗教类型,汉传佛教
248,东 山庙会,日期,农历三月十三日
248,东山庙会,会期时长,三天
248,东山庙会,包括活动,登山赶会
248,东山庙会,包括活动,祭祀拜神
248,东山庙会,包括活动,社交求偶
248,东山庙会,包括活动,春游聚会
248,东山庙会,包括表演形式,民歌对唱
248,东山 庙会,包括表演形式,古乐演奏
248,东山庙会,包括表演形式,滇戏演出
248,东山庙会,融合元素,宗教礼仪
248,东山庙会,融合元素,民族歌舞
248,东山庙会,融合元素,民间音乐
248,东山庙会,融合元素,说唱 艺术
248,东山庙会,载体 功能,传统音乐传承
248,东山 庙会,载体功能,舞蹈展示
248,东山庙会,载体功能,说唱艺术传播
248,东山庙会,承载内容,政治发展变迁史
248,东山 庙会,承载内容,经济发展变迁史
248,东山庙会,承载内容,社会发展变迁史
248,东山庙会,承载内容,文化发展变迁史
248,纳西 族,宗教信仰,东巴 教
248,白族,宗教信仰,本主教
248,汉族,宗教信仰,道教
248,汉族,宗教信仰,佛教
248,东山庙会,体现特征,民族文化多样性
248,东山庙会,体现特征,宗教文化 多元性
248,东山庙会,象征意义,民族团结和谐
248,东山 庙会,入选项目,云南省第四批省级非物质文化遗产代表性 项目名录
249,妥甸酱油,始创 时间,明洪武 年
249,妥甸酱油,生产周期,一年半左右
249,妥甸酱油,水源地,妥甸登高山小龙箐
249,妥甸酱油,技艺流程,备料 、制曲、制醪发酵、 压榨浓缩
249,妥 甸酱油,主要类别,老抽、生抽和白酱油
249,妥甸酱油,特点,色泽鲜艳、香味 浓郁、咸甜适中、稠能 挂碗
249,妥 甸酱油,入选项目,云南省第四批省级非物质文化遗产代表性 项目名录
249,王 氏家族,传承地位,最为正宗
249,王 文俊,身份,第三代 传人
249,王文俊,角色,此 项目的代表性传承人
249,妥甸酱油,成分,葡萄糖
249,妥甸酱油,成分,各种氨基酸
249,妥甸酱油,特性,久存不变质
249,妥甸酱油,特性,不生霉
249,妥甸酱油,用途,佐餐调味的 上等佳品
249,发酵环节,关键因素,日晒夜露
249,发酵环节,进行季节,冬、春旱 季
249,发酵 环节,持续时间,需个月 方能成熟
249,压榨方法,类型,传统 木榨法
249,浓缩工序,方式,入锅加热浓缩浓度达标即可出锅
250,麻洋纸 制作技艺,主要流传地,云南省普洱市镇沅县 和平镇麻洋村
250,麻洋纸 制作技艺,民族依托,拉祜族苦聪人
250,麻洋纸 制作技艺,原料来源,哀牢山野生桦竹
250,麻洋纸 制作技艺,使用工具,柴刀
250,麻洋纸制作技艺,使用工具,蒸锅
250,麻洋纸 制作技艺,使用工具,切皮刀
250,麻洋纸制作技艺,使用工具,切皮桶
250,麻 洋纸制作技艺,使用工具,料缸
250,麻洋纸制作技艺,使用工具,脚槌
250,麻洋纸制作技艺,使用 工具,清洗池
250,麻洋纸 制作技艺,使用工具,浸泡池
250,麻洋纸制作技艺,使用工具,人工粉浆 机
250,麻洋纸制作技艺,使用工具,纸缸
250,麻洋 纸制作技艺,使用工具,帘子
250,麻洋纸制作技艺,使用工具,人工压 纸机
250,麻洋纸制作技艺,使用工具,烘烤炉
250,麻 洋纸制作技艺,使用工具,土窖
250,麻洋纸制作 技艺,流程步骤,采 料
250,麻洋纸制作技艺,流程步骤,晒洗
250,麻洋 纸制作技艺,流程步骤,蒸煮、清洗
250,麻洋纸 制作技艺,流程步骤,粉浆
250,麻洋纸制作技艺,流程步骤,抄纸
250,麻 洋纸制作技艺,流程步骤,起纸
250,麻洋纸制作 技艺,流程步骤,烤 干、压平
250,麻洋纸制作 技艺,流程步骤,拣 纸
250,麻洋纸制作技艺,流程步骤,扎捆
250,麻洋 纸,用途,糊斗 笠
250,麻洋纸,用途,裱扇子
250,麻洋纸,用途,祭祀用品
250,麻洋 纸,用途,包装纸
250,麻洋纸制作技艺,面临 问题,工艺周期长
250,麻洋 纸制作技艺,面临问题,原料不足
250,麻洋纸制作技艺,面临问题,生产产量 低
250,麻洋纸制作技艺,面临问题,无人继承
250,拉祜 族传统手工造纸技艺,入选 名录,云南省第四批省级非 物质文化遗产代表性项目名录扩展项目名录
250,拉祜族传统手工造纸技艺,代表性传承人,罗志 兴
251,傣族三 弦调,流传地区,云南省 新平县漠沙镇
251,傣族 三弦调,流传地区,云南省新平县戛洒镇
251,傣族三 弦调,流传地区,云南省新平县水塘镇
251,傣族三弦调,流传地区,元江 县曼莱镇
251,傣族三弦调,流传地区,元江县甘 庄镇
251,傣 族三弦调,流传地区,元江县大水平乡
251,傣族三 弦调,使用乐器,三弦
251,傣 族三弦调,内容特点,内容丰富
251,傣族三弦调,形式 特点,形式多样
251,傣族三弦调,旋律特点,旋律优美
251,傣族三 弦调,言词特点,言词质朴
251,傣族三弦调,感情表达,感情细腻
251,傣族三 弦调,节奏特点,节奏感比较强
251,傣族三弦调,结构特征,一拍一个语音
251,傣族 三弦调,曲调技法,使用引腔和拖腔
251,傣族 三弦调,歌词句式,五言句
251,傣族三弦调,歌词句式,七 言句
251,傣族三弦调,歌词 句式,六言句
251,傣族三 弦调,歌词句式,九言句
251,傣族三弦调,歌词句式,三言 短句
251,傣族三弦调,歌词 句式,四言短句
251,傣族 三弦调,创作手法,比兴手法
251,傣族三弦调,代表作,《罕悲哈》
251,傣族 三弦调,代表作,《 罕少罕冒》
251,傣族三弦调,代表作,《罕生骚 》
251,傣 族三弦调,代表作,《罗傣卜少仰着仰 》
251,傣 族三弦调,文化价值,认识花腰傣社会历史
251,傣族 三弦调,文化价值,研究民风民俗
251,傣族三弦调,遗产地位,云南省第四 批省级非物质文化遗产代表性项目名录
251,三弦 琴,演奏姿势,立 姿演奏
251,情歌对唱,伴奏形式,三弦调伴奏
251,对歌活动,表现形式,知识图谱三元组 提取
252,五三腔,属于,滇南四大腔
252,五 三腔,得名原因,由五个腔口演唱三 句唱词
252,五三腔,演唱形式,领唱与帮腔、对 唱与帮腔
252,五三腔,组成部分,拘腔
252,五三腔,组成部分,四六句
252,五三腔,组成部分,曲子
252,五三 腔,组成部分,落腔
252,五三腔,组成部分,白话
252,曲子,分类,大曲
252,曲子,分类,小 曲
252,曲子,分类,对口杂曲
252,大曲,常见曲目,十大格子
252,大曲,常见曲目,十进 花园
252,大 曲,常见曲目,十 绣小曲
252,大曲,常见曲目,十会小曲
252,小曲,常见 曲目,相逢曲
252,小曲,常见 曲目,遇团曲
252,小曲,常见曲目,试探曲
252,小曲,常见曲目,牵挂曲
252,小曲,常见曲目,勾引曲
252,小曲,常见曲目,离别曲
252,小曲,常见曲目,闲聊曲
252,小曲,常见曲目,串联曲
252,五三腔,演唱技法,真假嗓 结合
252,五 三腔,演唱技法,大声
252,五 三腔,演唱技法,轻声
252,五 三腔,演唱技法,哼鸣
252,五三腔,使用语言,汉语
252,五三腔,含少量语言,彝语
252,五三腔,伴奏 乐器,弦子
252,弦子,别 称,四弦
252,五三腔,伴奏乐器,月琴
252,五三腔,伴奏乐器,树叶
252,五三腔,特点,结构复杂
252,五三腔,特点,篇幅宏大
252,五三腔,特点,曲调音域 宽广
252,五 三腔,特点,旋律 跌宕起伏
252,五三腔,特点,高亢明亮
252,五三腔,特点,铿锵有力
252,五三腔,特点,绵绵细语
252,五三腔,特点,细腻柔和
252,五三腔,唱词内容,男女恋情
252,五三 腔,唱词内容,社交礼仪
252,五三腔,呈现场合,彝族吃火草烟
252,五三腔,呈现场合,彝族 民间社交
252,五三腔,呈现场合,娱乐活动习俗
252,五三腔,用途,交际
252,五三腔,用途,娱乐
252,五三腔,传承困难原因,生产生活方式转变
252,五三腔,传承困难原因,脱离原有传承 载体
252,五 三腔,传承困难原因,结构庞大
252,五三腔,传承困难 原因,声腔连接需要群体 完成
252,五 三腔,入选项目,云南省第三批省级非物质文化遗产代表性 项目名录扩展项目名录
252,五三腔,项目代表性传承人,普秀 凤
252,华 溪甫甸何包田左和 姚桂珍右,演唱,五三腔拘腔
253,老达保 村民小组,位于,普洱 市澜沧拉祜族自治县 酒井乡勐根村
253,村民,民族,拉祜族
253,村民,支系,拉祜纳
253,保护区,植被类型,亚热带常绿阔叶林
253,村民,传统习俗,自觉保护森林植被
253,保护区,民居建筑形式,木 结构干栏式
253,保护区,聚落格局 特征,保持传统风貌
253,民间信仰体系,包括,基督教/寨神/山 神/树神/地神/ 水神
253,主要 节日,包含,春节/ 葫芦节/新米节/中秋节
253,春节活动 特色,核心环节,抢 新水接新水
253,国家级非遗项目,《 牡帕密帕》,"类别 , 拉祜族芦笙舞"
253,省级非遗 项目,《根古》,"类型, 拉祜族史诗"
253,非遗技艺,拉祜族服饰,"关联 区域, 该保护区"
253,非遗技艺,拉祜族竹编技艺,"关联区域, 该保护区"
253,称号认定,老达保村拉祜族 传统文化生态保护区,"入选名录, 云南省第四批省级非物质文化遗产 代表性项目名录"
253,传承基地建设,国家级非遗 项目《牡帕密帕》,"设立地点, 保护区内"
253,传承基地建设,拉祜族芦笙舞,"设立地点, 保护区内"
253,非遗内容 主题,《牡帕密帕》,"叙述内容, 创世 造物/人类繁衍/工具制造 /发展生产/分配制度"
253,舞蹈动作特征,芦笙舞,"步法 构成, 跳/跺/扫 /绕/蹉"
253,服饰文化价值,传统 服饰图案,"表现内容, 创世神话/民族迁徙/鬼神 喻示/礼仪教化"
253,管理机制,保护 区,"管理机构, 管理委员会"
253,代表性传承 人,李扎戈,"所属 项目, 老达保村拉 祜族传统文化生态保护区"
